ID,Domain,Study,Year,Design,Sample,Peer_reviewed,Key_result,Quality,Product_decision,URL
1,Light,Brown et al.,2022,Expert consensus with evidence synthesis,International workshop,Yes,"Targets: >250 lux melanopic EDI daytime; <10 evening; <1 during sleep",Moderate,"Use melanopic EDI safety envelope",https://doi.org/10.1371/journal.pbio.3001571
2,Light,Gooley et al.,2011,Controlled laboratory comparison,116,Yes,"Ordinary room light delayed melatonin onset and shortened duration",Moderate,"Reduce total evening intensity early",https://doi.org/10.1210/jc.2010-2098
3,Light,Rahman et al.,2017,Randomized crossover laboratory trial,16,Yes,"Blue-depleted light reduced melatonin suppression and alerting effects at equal illuminance",Moderate,"Spectrally tune warm evening scene",https://doi.org/10.1016/j.physbeh.2017.05.002
4,Light,Schollhorn et al.,2023,Controlled spectral experiment,72,Yes,"Melanopic irradiance predicted sleep latency and melatonin effects independently of appearance",Moderate,"Measure melanopic dose rather than colour name",https://pubmed.ncbi.nlm.nih.gov/36854795/
5,Light,Chambe et al.,2023,Systematic review and meta-analysis,22 studies / 685,Yes,"Light therapy mainly improved wake after sleep onset; timing and heterogeneity matter",Low-Moderate,"Do not treat generic evening light as insomnia therapy",https://doi.org/10.1111/jsr.13895
6,Light,Mason et al.,2022,Randomized crossover laboratory trial,20,Yes,"100 lux during sleep increased heart rate and next-morning insulin resistance",Moderate,"Darkness during core sleep",https://doi.org/10.1073/pnas.2113290119
7,Light,Thompson et al.,2014,Randomized crossover,8,Yes,"30-minute dawn improved alertness and some performance outcomes",Low,"Optional scheduled dawn",https://doi.org/10.1007/s00421-014-2831-z
8,Wearable,Lee et al.,2025,Systematic review and meta-analysis,24 studies / 798,Yes,"Consumer wrist devices differed significantly from PSG with high heterogeneity",Moderate,"Use trends not PSG equivalence",https://doi.org/10.5664/jcsm.11460
9,Wearable,Schyvens et al.,2025,Prospective PSG validation,Six devices,Yes,"Sleep sensitivity high; wake specificity 29.39%-52.15%",Moderate,"Quiet wake can be mislabeled; require unknown state",https://doi.org/10.1093/sleepadvances/zpaf021
10,Wearable,Lee et al.,2023,Multicentre PSG validation,75,Yes,"Eleven trackers showed macro F1 0.26-0.69 with subgroup effects",Moderate,"Device and population performance vary",https://pubmed.ncbi.nlm.nih.gov/37917155/
11,Wearable,Haghayegh et al.,2019,Systematic review and meta-analysis,Fitbit studies,Yes,"High sleep sensitivity but lower wake specificity and biased nightly metrics",Moderate,"Broad timing only",https://doi.org/10.2196/16273
12,Wearable,Jung et al.,2023,PSG respiratory-rate validation,195,Yes,"Galaxy Watch RR agreement good in normal-moderate OSA and worse in severe OSA",Low-Moderate,"RR is contextual not diagnostic",https://doi.org/10.3390/s23187976
13,Wearable,Fonseca et al.,2023,Held-out clinical PSG algorithm validation,Clinical dataset,Yes,"PPG/IBI plus accelerometry can support four-class probabilistic staging",Low-Moderate,"Research pipeline possible; validate independently",https://doi.org/10.1038/s41598-023-36444-2
14,Wearable,Samsung Health Sensor SDK,2026,Official technical documentation,Not applicable,No,"Current SDK exposes continuous accelerometer HR/IBI raw PPG and other signals",Not efficacy evidence,"Use only for feasibility claims",https://developer.samsung.com/health/sensor/overview.html
15,Music,Jespersen et al.,2022,Cochrane systematic review,13 trials / 1007,Yes,"Moderate-certainty improvement in subjective quality; no clear objective improvement",Moderate,"Optional pre-sleep music",https://pubmed.ncbi.nlm.nih.gov/36000763/
16,Music,Lund et al.,2022,Randomized controlled trial,112,Yes,"PSQI improved after four weeks but actigraphy did not",Low-Moderate,"Treat perceived benefit as primary wellness outcome",https://pubmed.ncbi.nlm.nih.gov/35697087/
17,Music,Yan et al.,2024,Randomized assessor-blinded trial,75,Yes,"Classical and jazz routines improved subjective outcomes; no superior genre",Low,"Preference over genre dogma",https://doi.org/10.1016/j.sleep.2024.07.018
18,Music,Zhao et al.,2024,Systematic review and meta-analysis,Adults with mental-health problems,Yes,"Moderate subjective benefit after excluding outlier",Low-Moderate,"Useful adjunct with uncertainty",https://doi.org/10.1192/j.eurpsy.2024.1773
19,Noise,Riedy et al.,2021,Systematic review,38 studies,Yes,"Evidence that continuous broadband noise improves sleep rated very low",Very low,"No default continuous noise",https://doi.org/10.1016/j.smrv.2020.101385
20,Noise,Capezuti et al.,2022,Systematic review,34 studies / 1103,Yes,"No strong evidence; heterogeneous methods and short-term studies",Very low,"Only context-specific opt-in use",https://doi.org/10.5664/jcsm.9860
21,Noise,Basner et al.,2026,Seven-night PSG crossover,25,Yes,"Pink noise 40-50 dBA reduced REM and worsened subjective outcomes; earplugs better",Moderate concern,"Avoid all-night 40-50 dBA pink noise",https://doi.org/10.1093/sleep/zsag001
22,Noise,Smith et al.,2022,Systematic review and meta-analysis,36 studies / >170000 responses,Yes,"Transportation noise associated with sleep disturbance",Moderate,"Source control before masking",https://doi.org/10.1289/EHP10197
23,Noise,WHO,2009-2026,Public-health guidance,Not applicable,No,"Guidance recommends <30 dBA in bedrooms at night",Authoritative guidance,"Calibrate at pillow; not proof added sound helps",https://www.who.int/Europe/news-room/fact-sheets/item/noise
24,Closed-loop,Wunderlin et al.,2021,Systematic review and meta-analysis,10 studies / 177,Yes,"Small borderline memory effect; insufficient for commercial recommendation",Low,"Keep as separate EEG research track",https://doi.org/10.1093/sleep/zsaa296
25,Closed-loop,Stanyer et al.,2022,Meta-analysis later retracted,16 studies,Retracted,"Retracted in 2026",Excluded,"Do not use as support",https://pubmed.ncbi.nlm.nih.gov/34850995/
26,Clinical guidance,Khosla et al. AASM,2018,Peer-reviewed position statement,Not applicable,Yes,"Consumer devices cannot diagnose or treat sleep disorders without validation",Moderate,"General-wellness positioning",https://doi.org/10.5664/jcsm.7128
